icao_hex,registration,type,description,country,category,role,source
45F45D,T-417,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F461,,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F462,T-423,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F463,,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F464,T-426,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F466,T-428,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F467,T-429,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F468,T-430,MF17,,Denmark,military,Danish Defence,tar1090-db flag=10
45F469,T-431,MF17,SAAB T-17 Supporter,Denmark,military,Danish Defence,tar1090-db flag=10
467801,FF-3,F27,FOKKER F-27,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467807,HN-402,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467808,HN-403,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467809,HN-404,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46780A,HN-405,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46780B,HN-406,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46780C,HN-407,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46780D,HN-408,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46780F,HN-410,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467811,HN-412,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467812,HN-414,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467813,HN-415,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467814,HN-416,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467815,HN-417,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467816,HN-418,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467817,HN-419,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467818,HN-420,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467819,HN-421,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46781A,HN-422,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46781B,HN-423,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46781D,HN-425,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46781F,HN-427,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467820,HN-428,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467821,HN-429,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467822,HN-431,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467823,HN-432,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467824,HN-433,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467826,HN-435,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467827,HN-436,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467829,HN-438,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46782A,HN-439,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46782D,HN-442,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46782E,HN-443,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46782F,HN-444,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467830,HN-445,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467831,HN-446,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467832,HN-447,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467833,HN-448,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467834,HN-449,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467835,HN-450,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467836,HN-451,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467837,HN-452,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467838,HN-453,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467839,HN-454,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46783A,HN-455,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46783B,HN-456,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46783C,HN-457,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46783D,HN-461,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46783E,HN-462,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46783F,HN-463,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467840,HN-464,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467841,HN-465,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467842,HN-466,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467843,HN-467,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467844,HN-424,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467847,HN-411,F18H,BOEING FA-18 HORNET,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46788B,LJ-3,LJ35,LEARJET 35,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46788C,LJ-2,LJ35,LEARJET 35,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46788D,LJ-1,LJ35,LEARJET 35,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46788E,CC-1,C295,CASA C-295 Persuader,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46788F,CC-2,C295,CASA C-295 Persuader,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467890,PI-01,PC12,PILATUS PC-12,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467891,PI-02,PC12,PILATUS PC-12,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467892,PI-03,PC12,PILATUS PC-12,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467893,PI-04,PC12,PILATUS PC-12,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467894,PI-05,PC12,PILATUS PC-12,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467895,PI-06,PC12,PILATUS PC-12,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467896,CC-3,C295,CASA C-295 Persuader,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467897,GO-1,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467898,GO-2,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
467899,GO-3,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46789A,GO-4,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46789B,GO-5,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46789C,GO-6,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46789D,GO-7,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46789E,GO-8,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
46789F,GO-9,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A0,GO-10,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A1,GO-11,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A2,GO-12,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A3,GO-13,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A4,GO-14,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A5,GO-15,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A6,GO-16,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A7,GO-17,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A8,GO-18,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678A9,GO-19,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678AB,GO-21,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678AC,GO-22,G115,,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678AF,GO-25,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
4678B1,GO-27,G115,GROB G-115,Finland,military,Finnish Defence Forces,tar1090-db flag=10
3B77DA,204,E3CF,Boeing E-3F Sentry,France,military,AWACS airborne early warning,tar1090-db flag=10
3B77DB,702-CC,E3CF,,France,military,AWACS airborne early warning,tar1090-db flag=10
3B77DC,202,E3CF,Boeing E-3F Sentry,France,military,AWACS airborne early warning,tar1090-db flag=10
3B77DD,201,E3CF,Boeing E-3F Sentry,France,military,AWACS airborne early warning,tar1090-db flag=10
3F476B,60+04,P3,,Germany,military,German Navy maritime patrol,tar1090-db flag=10
3F6001,60+01,P3,LOCKHEED P-3 Orion,Germany,military,German Navy maritime patrol,tar1090-db flag=10
3F6005,60+05,P3,LOCKHEED P-3 Orion,Germany,military,German Navy maritime patrol,tar1090-db flag=10
3F6007,60+07,P3,LOCKHEED P-3 Orion,Germany,military,German Navy maritime patrol,tar1090-db flag=10
4D03C0,LX-N90442,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03C1,LX-N90443,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03C2,LX-N90444,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03C3,LX-N90445,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03C4,LX-N90446,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03C5,LX-N90447,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03C6,LX-N90448,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03C8,LX-N90450,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03C9,LX-N90451,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03CA,LX-N90452,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03CB,LX-N90453,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03CC,LX-N90454,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03CD,LX-N90455,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03CE,LX-N90456,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4D03D0,LX-N90459,E3TF,Boeing E-3A Sentry,NATO (Luxembourg),military,AWACS airborne early warning,tar1090-db flag=10
4783DF,LN-LYR,D228,Dornier 228,Norway,coast_guard,Lufttransport for Kystvakten/Sysselmannen,manual_override
478764,LN-LTS,D228,Dornier 228,Norway,coast_guard,Lufttransport for Kystvakten/Sysselmannen,manual_override
4780EE,674,F16,GENERAL DYNAMICS F-16 Fighting Falcon,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478114,5607,C30J,Lockheed Martin C-130J-30 Hercules,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478115,5601,C30J,Lockheed Martin C-130J-30 Hercules,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478116,5629,C30J,Lockheed Martin C-130J-30 Hercules,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478117,5699,C30J,Lockheed Martin C-130J-30 Hercules,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47811A,4576,P3,LOCKHEED P-3 Orion,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478121,053,FA20,DASSAULT Falcon 200,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478124,0264,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478125,0265,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478127,0270,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478128,0273,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478129,0275,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47812A,0276,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47812B,0277,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47812C,0278,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47812D,0279,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47812E,0280,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47812F,0281,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478130,0282,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478131,0283,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478132,0284,EH10,AGUSTA WESTLAND EH-101 Merlin,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47819D,9582,P8,Boeing P-8A Poseidon,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47819E,9583,P8,Boeing P-8A Poseidon,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
47819F,9584,P8,Boeing P-8A Poseidon,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
4781A0,9585,P8,Boeing P-8A Poseidon,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
4781A1,9586,P8,Boeing P-8A Poseidon,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
4781A3,804,MF17,SAAB T-17 Supporter,Norway,military,Royal Norwegian Air Force,tar1090-db flag=10
478058,LN-ORC,A169,Leonardo AW169,Norway,police,Politiets helikoptertjeneste,manual_override
479B34,LN-ORB,A169,Leonardo AW169,Norway,police,Politiets helikoptertjeneste,manual_override
479C1E,LN-ORA,A169,Leonardo AW169,Norway,police,Politiets helikoptertjeneste,manual_override
48D820,0213,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D821,0214,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D822,0215,AN28,ANTONOV An-28,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D823,0216,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D824,0217,AN28,ANTONOV An-28,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D825,0205,AN28,ANTONOV An-28,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D826,0206,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D827,0218,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D828,0219,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D829,0220,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D82B,0221,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D82C,0222,AN28,ANTONOV An-28,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D82D,0223,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D82E,0224,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D82F,0225,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D840,011,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D841,012,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D842,013,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D843,014,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D844,015,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D845,016,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D846,017,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D847,018,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D849,020,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D84B,021,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D84C,022,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D852,023,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D853,024,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D854,025,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D855,026,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48D856,027,C295,CASA C-295 Persuader,Poland,military,Polish maritime patrol,tar1090-db flag=10
48DA85,1017,M28,PZL-MIELEC M-28 Skytruck,Poland,military,Polish maritime patrol,tar1090-db flag=10
4AB421,SE-MAA,DH8C,DHC-8-300 Dash 8,Sweden,coast_guard,Kustbevakningen,manual_override
4AB422,SE-MAB,DH8C,DHC-8-300 Dash 8,Sweden,coast_guard,Kustbevakningen,manual_override
4AB423,SE-MAC,DH8C,DHC-8-300 Dash 8,Sweden,coast_guard,Kustbevakningen,manual_override
4A8114,100001,SF34,SAAB 340,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8182,84002,C130,LOCKHEED C-130 Hercules,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8184,84004,C130,LOCKHEED C-130 Hercules,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8185,84005,C130,LOCKHEED C-130 Hercules,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8186,84006,C130,LOCKHEED C-130 Hercules,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8187,84007,C130,LOCKHEED C-130 Hercules,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8188,84008,C130,LOCKHEED C-130 Hercules,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8199,102004,GLF4,GULFSTREAM 4,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A81E6,86001,SBR1,NORTH AMERICAN Sabre 40/50/60/65,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A81F4,100008,SF34,SAAB 340,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A81F8,102003,GLF4,GULFSTREAM 4,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A81F9,102002,GLF4,GULFSTREAM 4,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A821F,100003,SF34,SAAB 340,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8220,100004,SF34,SAAB 340,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A822A,102005,GLF5,GULFSTREAM 5,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82EE,60033,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82F0,60038,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82F1,60040,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82F2,60041,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82F3,60045,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82F7,60061,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82F8,60062,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82F9,60063,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82FB,60073,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82FC,60079,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82FD,60083,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A82FF,60088,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8301,60098,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8302,60100,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8306,60105,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8309,60114,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A830A,60115,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A830B,60116,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A830C,60118,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A830E,60125,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8312,60133,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8314,60136,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8315,60137,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4A8317,60141,SB05,SAAB 105,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AEBD3,161226,H60,SIKORSKY UH-60 Black Hawk,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AEBE3,146056,G120,GROB G-120,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AEC62,35-195,LJ35,,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AEC63,35-075,LJ35,LEARJET 35,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECB9,40198,G120,GROB G-120,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECBA,40199,G120,GROB G-120,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECBB,40200,G120,GROB G-120,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECBC,60-306,LJ60,LEARJET 60,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECBD,40205,G12T,GROB G-120TP,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECBE,40206,G12T,GROB G-120TP,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECBF,40207,G12T,GROB G-120TP,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECC0,40208,G12T,GROB G-120TP,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECC3,106111,GLEX,BOMBARDIER BD-700 Global 6000/6500,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECC5,40211,G12T,GROB G-120TP,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECC6,40212,G12T,GROB G-120TP,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECC7,40213,G12T,GROB G-120TP,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECC8,60-252,LJ60,LEARJET 60,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
4AECC9,60-280,LJ60,LEARJET 60,Sweden,military,Swedish Armed Forces,tar1090-db flag=10
