icao_hex,registration,type,description,country,category,role,source
AE11D7,75-0557,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11D8,75-0558,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11D9,75-0559,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11DA,75-0560,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11DB,76-1604,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11DC,76-1605,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11DD,76-1606,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11DE,76-1607,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11DF,77-0351,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E0,77-0352,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E1,77-0353,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E2,77-0355,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E3,77-0356,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E4,78-0576,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E5,78-0577,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E6,78-0578,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E7,79-0001,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E8,79-0002,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11E9,79-0003,E3TF,Boeing E-3B Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11EA,80-0137,E3TF,Boeing E-3C Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11EB,80-0138,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11EC,80-0139,E3TF,Boeing E-3C Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11ED,81-0004,E3TF,Boeing E-3C Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11EE,81-0005,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11EF,82-0006,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11F0,82-0007,E3TF,Boeing E-3G Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11F2,83-0009,E3TF,Boeing E-3C Sentry,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE11F4,,E3TF,,United States,military,AWACS airborne early warning,tar1090-db flag=10
AE1253,62-4126,R135,Boeing RC-135W Rivet Joint,United States,military,USAF signals intelligence,tar1090-db flag=10
AE222C,167951,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE222D,167952,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE222E,167953,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE222F,167954,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE2230,167955,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EB1,167956,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EB2,168428,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EB3,168429,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EB4,168430,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EB5,168431,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EB6,168432,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EB7,168433,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EB8,168434,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EB9,168435,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EBA,168436,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EBB,168437,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EBC,168438,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EBD,168439,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EBE,168440,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EBF,168754,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC0,168755,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC1,168756,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC2,168757,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC3,168758,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC4,168759,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC5,168760,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC6,168761,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC7,168762,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC8,168763,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE4EC9,168764,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57B4,168848,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57B5,168849,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
AE57B6,168850,P8,Boeing P-8A Poseidon,United States,military,US Navy maritime patrol,tar1090-db flag=10
